"provincia_id","provincia_desc","año","recetas_confeccionadas_cantidad"
"82","Santa Fe","año_2016",1214518
"86","Santiago del Estero","año_2016",915134
"90","Tucuman","año_2016",1192842
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2016",39831
"02","Ciudad Autonoma de Buenos Aires","año_2017",172628
"06","Buenos Aires","año_2017",3730091
"10","Catamarca","año_2017",430448
"14","Cordoba","año_2017",1576309
"18","Corrientes","año_2017",827584
"22","Chaco","año_2017",1043477
"26","Chubut","año_2017",227164
"30","Entre Rios","año_2017",775809
"34","Formosa","año_2017",491679
"38","Jujuy","año_2017",517998
"42","La Pampa","año_2017",203271
"46","La Rioja","año_2017",274590
"50","Mendoza","año_2017",765458
"54","Misiones","año_2017",691266
"58","Neuquen","año_2017",174227
"62","Rio Negro","año_2017",173891
"66","Salta","año_2017",763591
"70","San Juan","año_2017",583754
"74","San Luis","año_2017",307816
"78","Santa Cruz","año_2017",49205
"82","Santa Fe","año_2017",1249618
"86","Santiago del Estero","año_2017",950687
"90","Tucuman","año_2017",1225501
"94","Tierra del Fuego, Antártida e Islas del Atlantico Sur","año_2017",41757
